,Method 1,Method runtime,Method 2,Method 2 runtime
0,0.390625,0.0009615421295166016,0.34839884033830376,0.002962350845336914
1,0.40625,0.0020017623901367188,0.41155466775606747,0.0038127899169921875
2,0.36328125,0.0010945796966552734,0.33215877043087877,0.0029740333557128906
3,0.40234375,0.00104522705078125,0.36644336245766485,0.002033233642578125
4,0.4375,0.002078533172607422,0.3646389102457287,0.0020492076873779297
5,0.349609375,0.0010943412780761719,0.4133591199680036,0.002025604248046875
6,0.390625,0.0010900497436523438,0.3844878845770259,0.0019998550415039062
7,0.375,0.0019145011901855469,0.37727007572928145,0.0020182132720947266
8,0.375,0.0009131431579589844,0.42599028545155637,0.002001047134399414
9,0.365234375,0.0009174346923828125,0.4079457633321953,0.002927064895629883
10,0.361328125,0.0020563602447509766,0.4440348075709174,0.002145528793334961
11,0.34765625,0.0019123554229736328,0.3718567190934731,0.002004384994506836
12,0.3671875,0.000911712646484375,0.37907452794121754,0.002085447311401367
13,0.37890625,0.0009095668792724609,0.35020329255023985,0.003014802932739258
14,0.39453125,0.0010001659393310547,0.3556166491860482,0.0019960403442382812
15,0.39453125,0.0010962486267089844,0.39531459784864253,0.0030689239501953125
16,0.41015625,0.0020761489868164062,0.3538121969741121,0.0020847320556640625
17,0.365234375,0.0010111331939697266,0.37005226688153703,0.003997325897216797
18,0.396484375,0.0011012554168701172,0.3285498660070066,0.0030558109283447266
19,0.345703125,0.0009636878967285156,0.3628344580337926,0.0030019283294677734
20,0.33984375,0.001981496810913086,0.37727007572928145,0.0019941329956054688
21,0.4140625,0.0010025501251220703,0.3844878845770259,0.002996206283569336
22,0.427734375,0.0010416507720947266,0.36644336245766485,0.0019583702087402344
23,0.37890625,0.0010075569152832031,0.37727007572928145,0.0030820369720458984
24,0.384765625,0.001007080078125,0.37366117130540927,0.003011465072631836
25,0.34765625,0.0009944438934326172,0.3393765792786232,0.0031235218048095703
26,0.3828125,0.0010380744934082031,0.40072795448445087,0.0029964447021484375
27,0.31640625,0.0010967254638671875,0.3844878845770259,0.0030777454376220703
28,0.37109375,0.0010914802551269531,0.3808789801531537,0.0030956268310546875
29,0.349609375,0.0010988712310791016,0.40072795448445087,0.002088785171508789
30,0.361328125,0.0010235309600830078,0.3844878845770259,0.0030527114868164062
31,0.458984375,0.0011141300201416016,0.42238138102768413,0.0049970149993896484
32,0.3359375,0.0011239051818847656,0.42779473766349246,0.0030455589294433594
33,0.421875,0.0020818710327148438,0.3899012412128342,0.0019030570983886719
34,0.390625,0.001047372817993164,0.3285498660070066,0.002888202667236328
35,0.39453125,0.0,0.42057692881574804,0.002173900604248047
36,0.34765625,0.001966238021850586,0.44764371199478964,0.0030069351196289062
37,0.357421875,0.0010230541229248047,0.3646389102457287,0.0031478404998779297
38,0.3671875,0.0010919570922851562,0.3646389102457287,0.0020110607147216797
39,0.40625,0.0019168853759765625,0.39531459784864253,0.0031037330627441406
40,0.400390625,0.0019121170043945312,0.3375721270666871,0.002010822296142578
41,0.35546875,0.0019943714141845703,0.34659438812636767,0.0020825862884521484
42,0.388671875,0.001999378204345703,0.3844878845770259,0.0030879974365234375
43,0.42578125,0.0010020732879638672,0.37366117130540927,0.0020072460174560547
44,0.388671875,0.001094818115234375,0.41155466775606747,0.002091646194458008
45,0.38671875,0.0020868778228759766,0.34839884033830376,0.002084016799926758
46,0.3671875,0.0010097026824951172,0.34298548370249543,0.0019936561584472656
